tt,ID,test,swap,FI,pval_bl,pval_FI
bbd,26684,chi2_cont,1,-2,0.08915210311589905,0.03347076358938267
bbd,26684,chi2_cont,2,-2,0.08915210311589905,0.03347076358938267
bbd,43715,fisher,1,29,4.696998962116357e-07,0.05966591616054311
bbd,43715,fisher,2,16,4.696998962116357e-07,0.06784894172523115
bbd,43715,chi2,1,30,9.25213239387127e-08,0.055373284150886916
bbd,43715,chi2,2,16,9.25213239387127e-08,0.052022804712764784
bbd,43715,chi2_cont,1,29,2.282781363971231e-07,0.06119201270016515
bbd,43715,chi2_cont,2,16,2.282781363971231e-07,0.08165244723408904
bbd,943,fisher,1,2,0.009220570313398513,0.06559547883437035
bbd,943,fisher,2,2,0.009220570313398513,0.06043294142402482
bbd,943,chi2,1,3,0.0034147911781178208,0.0654473165410927
bbd,943,chi2,2,3,0.0034147911781178208,0.058180150100360595
bbd,943,chi2_cont,1,2,0.010414994659063273,0.06727796053834906
bbd,943,chi2_cont,2,2,0.010414994659063273,0.062407418568705554
bbd,69,fisher,1,6,0.001101618882460982,0.05126470436090719
bbd,69,fisher,2,5,0.001101618882460982,0.06470290944726054
bbd,69,chi2,1,8,0.0005950356740111421,0.08098049083561835
bbd,69,chi2,2,6,0.0005950356740111421,0.0685262969304173
bbd,69,chi2_cont,1,6,0.001429680231267784,0.05361447285364407
bbd,69,chi2_cont,2,5,0.001429680231267784,0.06574257476697855
bbd,66637,fisher,1,5,0.0008250112507805208,0.052514587385384774
bbd,66637,fisher,2,3,0.0008250112507805208,0.05857206572283405
bbd,66637,chi2,1,6,0.0009566638621477442,0.07097420002444592
bbd,66637,chi2,2,4,0.0009566638621477442,0.10306923973957598
bbd,66637,chi2_cont,1,4,0.0032621235870935604,0.05671235772666167
bbd,66637,chi2_cont,2,3,0.0032621235870935604,0.09412408987457586
bbd,31616,fisher,1,-2,0.13414905450500572,0.02994309296964423
bbd,31616,fisher,2,-2,0.13414905450500572,0.02994309296964423
bbd,31616,chi2,1,-1,0.08364017301954924,0.03810351639918767
bbd,31616,chi2,2,-1,0.08364017301954924,0.03810351639918767
bbd,31616,chi2_cont,1,-2,0.17608585548369862,0.0402451854220889
bbd,31616,chi2_cont,2,-2,0.17608585548369862,0.0402451854220889
bbd,31578,fisher,1,2,0.015205766100906742,0.1891824422716865
bbd,31578,fisher,2,2,0.015205766100906742,0.10537084398976981
bbd,31578,chi2,1,2,0.00896863274407507,0.09302795817852329
bbd,31578,chi2,2,2,0.00896863274407507,0.053823821748014034
bbd,31578,chi2_cont,1,1,0.027881323791559443,0.0841216069635049
bbd,31578,chi2_cont,2,1,0.027881323791559443,0.06408968564879658
bbd,30616,fisher,1,8,0.004812188481882886,0.0670596945472956
bbd,30616,fisher,2,4,0.004812188481882886,0.0730624879595862
bbd,30616,chi2,1,8,0.0037386818405850102,0.059336825226659125
bbd,30616,chi2,2,4,0.0037386818405850102,0.05352134579246894
bbd,30616,chi2_cont,1,6,0.0066566842588670905,0.050671053958684924
bbd,30616,chi2_cont,2,4,0.0066566842588670905,0.07978708222060323
bbd,823,fisher,1,9,0.0013838150779731154,0.06262826225982043
bbd,823,fisher,2,7,0.0013838150779731154,0.06198051910543934
bbd,823,chi2,1,10,0.0009421737584462555,0.06625690012316575
bbd,823,chi2,2,7,0.0009421737584462555,0.0583848642101048
bbd,823,chi2_cont,1,8,0.0017426499625912868,0.05046889954571502
bbd,823,chi2_cont,2,6,0.0017426499625912868,0.05527780147106481
bbd,30695,fisher,1,10,0.0005766146645734215,0.07174849774825395
bbd,30695,fisher,2,7,0.0005766146645734215,0.0568252878728403
bbd,30695,chi2,1,10,0.000584157232591619,0.05854248068477948
bbd,30695,chi2,2,8,0.000584157232591619,0.0700568693460034
bbd,30695,chi2_cont,1,9,0.0011253843248198961,0.06300443544325751
bbd,30695,chi2_cont,2,7,0.0011253843248198961,0.0671382837309441
bbd,34020,fisher,1,4,0.0040623154794757615,0.07920689060187724
bbd,34020,fisher,2,4,0.0040623154794757615,0.08768562445581041
bbd,34020,chi2,1,5,0.001800704371930661,0.07709987174354202
bbd,34020,chi2,2,5,0.001800704371930661,0.0873752803407674
bbd,34020,chi2_cont,1,4,0.004546524632569107,0.08043811920882914
bbd,34020,chi2_cont,2,4,0.004546524632569107,0.08865923208274759
bbd,35591,fisher,1,21,2.287347270128603e-06,0.0665668506926036
bbd,35591,fisher,2,16,2.287347270128603e-06,0.05549738773530789
bbd,35591,chi2,1,22,3.1068931500395994e-06,0.06813543092464897
bbd,35591,chi2,2,17,3.1068931500395994e-06,0.06602914634440954
bbd,35591,chi2_cont,1,20,6.373004990165132e-06,0.05163856874126292
bbd,35591,chi2_cont,2,16,6.373004990165132e-06,0.06408246497060276
bbd,9830,fisher,1,12,5.052670005565486e-06,0.053562836860235774
bbd,9830,fisher,2,23,5.052670005565486e-06,0.05030853012135934
bbd,9830,chi2,1,13,1.933981769186391e-06,0.07700169234864183
bbd,9830,chi2,2,24,1.933981769186391e-06,0.060690414259246914
bbd,9830,chi2_cont,1,12,4.600809904234684e-06,0.0683852174921867
bbd,9830,chi2_cont,2,22,4.600809904234684e-06,0.053917140174487226
bbd,30643,fisher,1,15,5.596126614755737e-06,0.05018994427479359
