tt,ID,pval_FI,pval_chi,FI,FI2
bbd,31327,0.3942853537588259,0.3942220315701416,8.0,8.0
bbd,66731,0.003155964671855178,0.004981362513672067,6.0,6.0
bbd,35585,0.003953498279908223,0.004099326645075858,7.0,8.0
bbd,644,0.00021353678601064696,0.00014591361139339962,58.0,10.0
bbd,34471,0.0014187801186707337,0.0022006082281013,6.0,9.0
bbd,34111,0.09066910866180991,0.10401273997778535,2.0,2.0
bbd,34009,0.010050394030492751,0.013520314147397716,3.0,2.0
bbd,654,0.00011187596840589518,0.0001748865925420932,6.0,9.0
bbd,44730,0.010521953830944454,0.017941593987976092,2.0,2.0
bbd,34482,0.0002755961538498793,0.000276341793687015,24.0,4.0
bbd,28694,0.01924296842274545,0.021075189273797777,2.0,2.0
bbd,35856,0.09740777261591366,0.1127475268984598,1.0,1.0
bbd,6828,0.02066007516171573,0.024845290530668508,3.0,2.0
bbd,58996,0.027490862863499072,0.04786771676615636,1.0,1.0
bbd,30660,0.061132803648472844,0.06339913941726635,1.0,1.0
phn,1718,0.00475229100769626,0.0077424243607776,3.0,3.0
phn,1966,6.980639347110974e-05,0.00011224558464960953,10.0,11.0
phn,1542,6.853106100615911e-05,7.368170063721822e-05,25.0,8.0
phn,456,0.05030690016312189,0.0685837583868582,1.0,1.0
phn,726,0.10922973934236313,0.1117170722691297,2.0,2.0
phn,2145,0.025550726857509847,0.026636499239378598,2.0,2.0
phn,1088,0.0036856313587399726,0.0061096876709754765,4.0,4.0
phn,559,0.031163961156399834,0.03638546131456508,1.0,1.0
phn,339,0.023334895800376117,0.03329258110669396,2.0,2.0
phn,1089,0.005537823643154867,0.006542562867816498,3.0,4.0
phn,617,0.030932459394944635,0.03687118477142025,3.0,2.0
phn,1062,0.04396144776977491,0.045020881002538655,1.0,1.0
phn,904,0.05132727309899586,0.05316553269956591,1.0,1.0
phn,624,0.030627209477833792,0.038723974279788666,1.0,2.0
phn,1379,0.0003891199561509565,0.0012140957123904234,6.0,4.0
phn,1047,0.3769715737848768,0.4754330302835609,6.0,6.0
phn,1049,0.05492015007584915,0.0908507819684922,2.0,2.0
phn,5,0.010352955919004436,0.01630152192267306,3.0,2.0
phn,2374,0.008414653815350604,0.027452458051802946,1.0,3.0
phn,1905,0.027444665184799006,0.032893802161309445,1.0,2.0
phn,1510,0.027759197324414724,0.04795952911372757,1.0,1.0
phn,612,0.0007646149909515428,0.0060443406151548945,3.0,17.0
phn,1979,0.02454609899792299,0.03184831926051777,1.0,3.0
phn,5889,5.11264599172807e-08,1.1667289640254523e-07,19.0,18.0
phn,1536,0.01653561517113787,0.02355596170582163,1.0,1.0
phn,1175,0.03933106259617025,0.0397510059111421,1.0,1.0
phn,5829,0.004139046115328801,0.002539384541745153,6.0,2.0
phn,1427,0.04386960260069363,0.044423184850005966,1.0,1.0
phn,1494,4.0157143632683616e-05,5.264674301162813e-05,18.0,22.0
phn,5637,1.2967473138798386e-12,2.359708215478554e-13,31.0,17.0
phn,1372,0.012063760364763716,0.016814143936265707,3.0,3.0
phn,1719,0.0005532347532640417,0.000536221275643312,10.0,6.0
phn,5838,0.015885757433727183,0.03711103104387717,1.0,2.0
phn,1235,0.04644277525067667,0.05756709254274197,1.0,1.0
phn,2355,0.018102901974509734,0.020337466026308048,4.0,2.0
phn,1107,5.729920082186098e-07,7.69298949548761e-08,23.0,11.0
phn,2293,0.10011264602483874,0.10115370414374691,2.0,2.0
phn,2437,0.09102638984956371,0.09334970867677092,4.0,4.0
phn,5690,7.569438887720202e-05,0.00012745807355224443,9.0,16.0
phn,1111,6.94966094852651e-05,0.00022116322931875208,5.0,8.0
phn,1706,0.02418034761878419,0.02474467204639892,2.0,2.0
phn,530,0.04282024552147933,0.05529289413261768,1.0,1.0
phn,266,0.025562239969442936,0.046525801889217164,1.0,1.0
phn,351,0.0002017061723508836,0.00017799841696376165,14.0,8.0
phn,496,0.06997345549506512,0.07968409869856986,1.0,1.0
phn,1442,0.030464546494437417,0.06189215667451643,1.0,1.0
phn,462,1.7850536886861504e-12,3.808698548439538e-13,87.0,32.0
phn,1045,0.0013157170888948894,0.001779891247046614,6.0,7.0
phn,2144,0.0003195608671106397,0.0007326096179869135,5.0,7.0
phn,941,0.1526981130168414,0.3156996541394267,1.0,1.0
phn,1072,0.0028937831311110626,0.003742136883228706,3.0,6.0
phn,1469,2.2146769187134997e-05,7.361678836196616e-06,22.0,8.0
phn,469,0.5391097400762213,0.6796214012457804,4.0,4.0
phn,243,0.00778640567662184,0.012506856529693596,4.0,4.0
phn,247,0.029494578352184726,0.043482636550600404,2.0,1.0
phn,776,0.1104441776710687,0.12801689128723256,2.0,2.0
phn,497,0.0015764638274073407,0.00266539666846755,6.0,5.0
phn,274,0.0006868233640086887,0.00025607274835969115,43.0,5.0
phn,1702,0.5852405384034745,0.7494350888588978,5.0,5.0
phn,52,9.038777805837174e-15,2.6265317090484947e-15,112.0,112.0
phn,1273,0.06713168697586694,0.08626164437643276,1.0,1.0
phn,1572,0.05782265051969369,0.07305022599353803,1.0,1.0
phn,3402,0.02900807660685779,0.030801936214321448,1.0,1.0
phn,736,0.0005141778524069896,0.000639150544642389,10.0,8.0
phn,524,0.005306051673313661,0.009087467452439208,3.0,2.0
phn,1973,0.09749695366977518,0.09982523592736448,2.0,2.0
phn,1461,1.3754441150637864e-10,5.072891218532192e-10,37.0,32.0
phn,4737,0.023333494543050982,0.02553825631020663,1.0,1.0
phn,1432,0.016220159173398474,0.01860981699945902,2.0,2.0
phn,944,0.0018438866958484148,0.002363901727074825,5.0,4.0
phn,449,0.010167139445828288,0.011801477219442488,5.0,4.0
phn,18,0.01685823754789273,0.022478873366125276,1.0,2.0
phn,31,0.0063090900415577085,0.01033229071941213,3.0,4.0
phn,34,0.05875752210470074,0.06862956940329182,1.0,1.0
phn,1201,0.06926404391768645,0.08721732808023643,1.0,1.0
phn,1775,2.5645975311809338e-05,3.203866049175172e-05,14.0,19.0
phn,252,1.9110526994145278e-08,2.0393435766546377e-08,35.0,29.0
phn,967,0.01010101010101011,0.022773309501244822,2.0,1.0
phn,971,0.04820170559881345,0.0845073631228786,1.0,1.0
phn,1286,0.12658694918644336,0.194981968328607,2.0,2.0
phn,1328,0.004761904761904759,0.012298217061234292,2.0,2.0
phn,1950,0.05869750480538999,0.08365093292493798,1.0,1.0
phn,3329,1.0143646467398167e-09,2.42304191880472e-09,29.0,20.0
phn,268,0.21149386182203816,0.27689812362569377,1.0,1.0
phn,17,5.113070707993176e-06,3.7868060893783974e-06,13.0,6.0
phn,1398,5.217590553262772e-16,1.6867031580039447e-15,31.0,68.0
phn,565,4.418439863320222e-05,5.668796183969098e-05,16.0,21.0
phn,2951,0.0015668518191700813,0.0023089572117666116,5.0,28.0
phn,259,0.04274733682579489,0.061076208273153215,1.0,1.0
phn,424,0.17599563650731578,0.17691363028975166,2.0,2.0
phn,613,0.15337323010893383,0.16563621219512992,5.0,5.0
phn,3124,1.2305628666235069e-05,2.29095066811962e-05,42.0,42.0
phn,541,0.00015596588188069666,0.0001605368818094559,28.0,26.0
phn,67,3.465767436229467e-14,1.1636578534342797e-12,52.0,52.0
phn,410,0.12046848856664798,0.12891218169912036,2.0,2.0
phn,2240,1.074556552460642e-05,3.472533499511642e-05,13.0,10.0
phn,618,0.025802580299813256,0.032366247716606227,1.0,2.0
phn,968,0.04892239080401256,0.06853444881019566,1.0,1.0
phn,3986,0.031150988042650034,0.0341001604142229,1.0,1.0
phn,2546,0.00020066060964157132,0.000530652875294077,7.0,6.0
phn,2405,0.22282608695652156,0.27841201059903803,2.0,2.0
phn,1392,1.4854326752463464e-11,1.5031748395382487e-09,19.0,24.0
phn,2130,0.041858467283890075,0.05971967088411414,1.0,1.0
phn,4011,2.511329103025343e-06,7.074654701797676e-06,12.0,12.0
phn,1980,0.0012390503630121757,0.001463799161690943,5.0,5.0
phn,708,3.875005666100892e-05,8.402137831892507e-05,10.0,11.0
phn,2078,0.004012215386214819,0.008725985283492815,3.0,2.0
phn,1473,0.05771290709763458,0.058729072714563645,1.0,1.0
phn,3983,2.3919358708946136e-06,2.2117280585633275e-05,11.0,8.0
phn,2745,0.2171226921143566,0.30697926554300825,3.0,3.0
phn,3397,3.1650958616634993e-10,1.9091442533483564e-09,21.0,9.0
phn,369,0.031109195809748566,0.04830898500302352,1.0,1.0
phn,20,0.0011725011826996111,0.006231174850185461,3.0,7.0
phn,929,0.013814147851967658,0.020199474589888654,2.0,2.0
phn,5604,1.3744610736997554e-09,2.899560100035485e-09,27.0,37.0
phn,720,4.303745603812346e-05,6.81784835452514e-05,13.0,12.0
phn,473,0.027142893558052595,0.03588595647602391,1.0,1.0
phn,432,0.5165081713925309,0.5923148795648967,9.0,9.0
phn,311,0.020788094529764087,0.021535335083671885,3.0,2.0
phn,1133,0.4845017190717411,0.48222504475604,5.0,5.0
phn,615,3.948231964701915e-06,6.370095742341313e-06,15.0,13.0
phn,1340,0.01381414785196762,0.01572529975450535,2.0,2.0
phn,1037,1.0,0.7710840634043519,4.0,4.0
phn,2350,0.004524886877828046,0.007798710072738129,3.0,2.0
phn,1370,1.6043014916521876e-09,2.8045038725189176e-09,33.0,26.0
phn,943,0.01163943916922636,0.014016413003237128,3.0,4.0
phn,519,0.00020260439558678303,0.00016521599516992864,11.0,17.0
phn,511,0.02484388216788473,0.025833134739690244,2.0,2.0
phn,5636,0.0318306488749282,0.050187574087021236,1.0,1.0
neg,1027,0.308757605857676,0.38234012457099786,4.0,4.0
neg,2874,1.0,0.9087608163943107,10.0,10.0
neg,2762,0.3585352188672803,0.4337091403789156,8.0,8.0
neg,1914,1.0,0.640592006524916,6.0,6.0
neg,402,0.12857142857142861,0.2637100971086191,1.0,1.0
neg,999,1.0,0.7262257625654784,3.0,3.0
neg,998,0.15242774886999083,0.2112280576634713,3.0,3.0
neg,902,0.3464314630727745,0.461213244784931,2.0,2.0
neg,2495,1.0,1.0,4.0,4.0
neg,997,0.4358974358974356,0.8958055078502888,3.0,3.0
neg,996,0.15555555555555586,0.3033622616414709,2.0,2.0
neg,2674,0.6771192292182853,0.9597974917478035,6.0,6.0
neg,1788,1.0,0.9251136917618581,9.0,9.0
neg,2373,0.6729840208101089,0.9469980662013939,6.0,6.0
neg,925,0.584980237154149,0.8757407518655183,4.0,4.0
neg,234,1,1,14,14
neg,324,0.05412551688503813,0.05948881518215604,1.0,1.0
neg,4326,1.0,1.0,4.0,4.0
neg,1261,1.0,0.835804163968703,6.0,6.0
neg,1954,0.06706028256858904,0.08816988017795754,1.0,1.0
neg,1452,1.0,0.8736277061682154,4.0,4.0
neg,434,0.12738612738612756,0.12988262887648022,2.0,2.0
neg,110,1.0,1.0,8.0,8.0
neg,1156,1.0,0.934930230039491,5.0,5.0
neg,2213,1.0,0.6391169645325561,6.0,6.0
neg,1433,1.0,1.0,4.0,4.0
neg,354,1.0,1.0,6.0,6.0
neg,102,0.6432772824775466,0.6944573316518995,17.0,17.0
neg,2699,0.8234134597323968,0.8654356244341127,10.0,10.0
neg,4702,1.0,0.9433950878433356,7.0,7.0
neg,31766,1.0,0.9440591635337436,18.0,18.0
neg,21067,1.0,0.8424552344204748,13.0,13.0
neg,35728,0.29241346139362673,0.34106181087506743,5.0,5.0
neg,35053,1.0,0.8764052310048431,7.0,7.0
neg,35708,0.6178454442922157,0.7491105230346293,14.0,14.0
neg,31032,0.6823126613676467,0.789505641163921,9.0,9.0
neg,35826,1,1,5,5
neg,30393,0.12167509122566597,0.13860636645257318,2.0,2.0
neg,486,0.4074844074844076,0.4052676330234941,4.0,4.0
neg,34249,0.7310941471119425,0.7300697275800421,6.0,6.0
neg,27845,1.0,1.0,8.0,8.0
neg,60645,0.14779182217060188,0.14959145070681165,3.0,3.0
neg,342,1.0,0.8826666737284609,8.0,8.0
neg,842,1.0,0.8907658784139251,7.0,7.0
neg,34449,1.0,1.0,4.0,4.0
